Background Color,Text Color,Color scheme,Color Class
0,0,00,Error
0,1,01,Solid
0,2,02,Good
0,3,03,Good
0,4,04,Marginal
0,5,05,Marginal
0,6,06,Good
0,7,07,Best
0,8,08,Good
0,9,09,Marginal
0,A,0A,Best
0,B,0B,Best
0,C,0C,Best
0,D,0D,Best
0,E,0E,Best
0,F,0F,Best
1,0,10,Solid
1,1,11,Error
1,2,12,Good
1,3,13,Good
1,4,14,Marginal
1,5,15,Marginal
1,6,16,Good
1,7,17,Best
1,8,18,Good
1,9,19,Solid
1,A,1A,Best
1,B,1B,Best
1,C,1C,Best
1,D,1D,Best
1,E,1E,Best
1,F,1F,Best
2,0,20,Good
2,1,21,Good
2,2,22,Error
2,3,23,Solid
2,4,24,Marginal
2,5,25,Marginal
2,6,26,Marginal
2,7,27,Good
2,8,28,Marginal
2,9,29,Marginal
2,A,2A,Best
2,B,2B,Best
2,C,2C,Marginal
2,D,2D,Marginal
2,E,2E,Good
2,F,2F,Best
3,0,30,Good
3,1,31,Good
3,2,32,Solid
3,3,33,Error
3,4,34,Marginal
3,5,35,Marginal
3,6,36,Marginal
3,7,37,Best
3,8,38,Marginal
3,9,39,Marginal
3,A,3A,Best
3,B,3B,Best
3,C,3C,Marginal
3,D,3D,Marginal
3,E,3E,Best
3,F,3F,Best
4,0,40,Marginal
4,1,41,Marginal
4,2,42,Marginal
4,3,43,Marginal
4,4,44,Error
4,5,45,Solid
4,6,46,Marginal
4,7,47,Best
4,8,48,Marginal
4,9,49,Marginal
4,A,4A,Good
4,B,4B,Good
4,C,4C,Good
4,D,4D,Good
4,E,4E,Best
4,F,4F,Best
5,0,50,Marginal
5,1,51,Marginal
5,2,52,Solid
5,3,53,Marginal
5,4,54,Solid
5,5,55,Error
5,6,56,Marginal
5,7,57,Good
5,8,58,Marginal
5,9,59,Marginal
5,A,5A,Good
5,B,5B,Good
5,C,5C,Good
5,D,5D,Good
5,E,5E,Best
5,F,5F,Best
6,0,60,Best
6,1,61,Good
6,2,62,Marginal
6,3,63,Marginal
6,4,64,Good
6,5,65,Good
6,6,66,Error
6,7,67,Good
6,8,68,Solid
6,9,69,Good
6,A,6A,Good
6,B,6B,Good
6,C,6C,Marginal
6,D,6D,Marginal
6,E,6E,Best
6,F,6F,Best
7,0,70,Best
7,1,71,Best
7,2,72,Best
7,3,73,Best
7,4,74,Best
7,5,75,Best
7,6,76,Good
7,7,77,Error
7,8,78,Good
7,9,79,Best
7,A,7A,Marginal
7,B,7B,Marginal
7,C,7C,Good
7,D,7D,Good
7,E,7E,Good
7,F,7F,Best
8,0,80,Best
8,1,81,Best
8,2,82,Marginal
8,3,83,Marginal
8,4,84,Good
8,5,85,Good
8,6,86,Solid
8,7,87,Best
8,8,88,Error
8,9,89,Good
8,A,8A,Best
8,B,8B,Best
8,C,8C,Marginal
8,D,8D,Marginal
8,E,8E,Best
8,F,8F,Best
9,0,90,Marginal
9,1,91,Marginal
9,2,92,Solid
9,3,93,Solid
9,4,94,Solid
9,5,95,Solid
9,6,96,Marginal
9,7,97,Good
9,8,98,Marginal
9,9,99,Error
9,A,9A,Good
9,B,9B,Best
9,C,9C,Good
9,D,9D,Good
9,E,9E,Best
9,F,9F,Best
A,0,A0,Best
A,1,A1,Good
A,2,A2,Good
A,3,A3,Good
A,4,A4,Good
A,5,A5,Good
A,6,A6,Marginal
A,7,A7,Solid
A,8,A8,Good
A,9,A9,Good
A,A,AA,Error
A,B,AB,Solid
A,C,AC,Marginal
A,D,AD,Marginal
A,E,AE,Marginal
A,F,AF,Marginal
B,0,B0,Best
B,1,B1,Good
B,2,B2,Good
B,3,B3,Good
B,4,B4,Good
B,5,B5,Good
B,6,B6,Good
B,7,B7,Marginal
B,8,B8,Good
B,9,B9,Good
B,A,BA,Solid
B,B,BB,Error
B,C,BC,Marginal
B,D,BD,Marginal
B,E,BE,Solid
B,F,BF,Marginal
C,0,C0,Best
C,1,C1,Good
C,2,C2,Marginal
C,3,C3,Marginal
C,4,C4,Marginal
C,5,C5,Marginal
C,6,C6,Marginal
C,7,C7,Marginal
C,8,C8,Marginal
C,9,C9,Good
C,A,CA,Marginal
C,B,CB,Marginal
C,C,CC,Error
C,D,CD,Solid
C,E,CE,Good
C,F,CF,Best
D,0,D0,Best
D,1,D1,Good
D,2,D2,Marginal
D,3,D3,Marginal
D,4,D4,Marginal
D,5,D5,Marginal
D,6,D6,Marginal
D,7,D7,Solid
D,8,D8,Marginal
D,9,D9,Good
D,A,DA,Marginal
D,B,DB,Marginal
D,C,DC,Solid
D,D,DD,Error
D,E,DE,Good
D,F,DF,Good
E,0,E0,Best
E,1,E1,Best
E,2,E2,Good
E,3,E3,Good
E,4,E4,Best
E,5,E5,Good
E,6,E6,Good
E,7,E7,Marginal
E,8,E8,Good
E,9,E9,Good
E,A,EA,Marginal
E,B,EB,Marginal
E,C,EC,Good
E,D,ED,Good
E,E,EE,Error
E,F,EF,Solid
F,0,F0,Best
F,1,F1,Best
F,2,F2,Best
F,3,F3,Best
F,4,F4,Best
F,5,F5,Best
F,6,F6,Good
F,7,F7,Marginal
F,8,F8,Good
F,9,F9,Best
F,A,FA,Marginal
F,B,FB,Marginal
F,C,FC,Best
F,D,FD,Good
F,E,FE,Solid
F,F,FF,Error
