Background Color,Text Color,Color Code,Color Class,Color Category
0,0,00,Error,Unusable
0,1,01,Marginal,
0,2,02,Best,
0,3,03,Best,
0,4,04,Best,
0,5,05,Good,
0,6,06,Best,
0,7,07,Best,
0,8,08,Good,
0,9,09,Best,
0,A,0A,Best,
0,B,0B,Best,
0,C,0C,Best,
0,D,0D,Good,
0,E,0E,Best,
0,F,0F,Best,
1,0,10,Solid,Hide
1,1,11,Error,Unusable
1,2,12,Good,
1,3,13,Good,
1,4,14,Marginal,
1,5,15,Solid,
1,6,16,Good,
1,7,17,Best,
1,8,18,Good,
1,9,19,Marginal,
1,A,1A,Good,
1,B,1B,Best,
1,C,1C,Good,
1,D,1D,Marginal,
1,E,1E,Best,
1,F,1F,Best,
2,0,20,Best,
2,1,21,Good,
2,2,22,Error,Unusable
2,3,23,Solid,Hide
2,4,24,Marginal,
2,5,25,Marginal,
2,6,26,Marginal,
2,7,27,Good,
2,8,28,Marginal,
2,9,29,Solid,
2,A,2A,Marginal,
2,B,2B,Best,
2,C,2C,Solid,
2,D,2D,Marginal,
2,E,2E,Best,
2,F,2F,Best,
3,0,30,Best,
3,1,31,Good,
3,2,32,Solid,Hide
3,3,33,Error,Unusable
3,4,34,Marginal,
3,5,35,Marginal,
3,6,36,Marginal,
3,7,37,Good,
3,8,38,Solid,
3,9,39,Solid,
3,A,3A,Marginal,
3,B,3B,Good,
3,C,3C,Marginal,
3,D,3D,Marginal,
3,E,3E,Best,
3,F,3F,Best,
4,0,40,Best,
4,1,41,Good,
4,2,42,Solid,
4,3,43,Marginal,
4,4,44,Error,Unusable
4,5,45,Solid,Hide
4,6,46,Marginal,
4,7,47,Best,
4,8,48,Solid,
4,9,49,Solid,
4,A,4A,Marginal,
4,B,4B,Good,
4,C,4C,Marginal,
4,D,4D,Solid,
4,E,4E,Best,
4,F,4F,Best,
5,0,50,Good,
5,1,51,Marginal,
5,2,52,Marginal,
5,3,53,Marginal,
5,4,54,Marginal,Hide
5,5,55,Error,Unusable
5,6,56,Good,
5,7,57,Best,
5,8,58,Marginal,
5,9,59,Marginal,
5,A,5A,Marginal,
5,B,5B,Good,
5,C,5C,Good,
5,D,5D,Solid,
5,E,5E,Best,
5,F,5F,Best,
6,0,60,Best,
6,1,61,Good,
6,2,62,Marginal,
6,3,63,Marginal,
6,4,64,Good,
6,5,65,Good,
